codigo	nombre	slug	categoria_slug	precio	precio_antes	presentacion	origen	descripcion_corta	descripcion_larga	modo_uso	beneficios	imagen_url	stock	activo	destacado	mas_vendido
ECN-001	Leche de Almendras	leche-de-almendras	lacteos-y-kefir	22.80		1 L	Green House / HIRI	Leche vegetal 100% natural, sin lactosa ni gluten, sin aditivos.	Bebida vegetal elaborada con alta concentración de almendras, de fácil digestión y sin azúcar añadida.	Conservar refrigerado. Consumir directo o en preparaciones frías/calientes. Vida útil 14 días refrigerado, 4-5 días una vez abierto.	Sin lactosa ni gluten|Rebaja el colesterol malo|Rica en omegas|Buena fuente de fibra	25	true	true	false
ECN-002	Nibs de Cacao	nibs-de-cacao	superalimentos	24.50		180 g	Green House / HIRI	Trozos de cacao 100% puro, snack natural crujiente.	Cacao amazónico troceado, sin procesar, ideal como snack o para agregar a ensaladas de fruta y cereales.	Consumir directo como snack, o espolvorear sobre cereales, yogurt o ensaladas de fruta.	Libera endorfinas|Mejora la digestión|Estimulante natural|Calma la ansiedad de comer	30	true	false	false
ECN-003	Aceite de Coco	aceite-de-coco	aceites	29.90		335 ml	Green House / HIRI	Aceite de coco 100% natural.	Aceite de coco Green House, de uso alimentario, medicinal y estético.	Uso alimentario directo o en cocina; uso tópico en piel y cabello.	Uso versátil|Energía de fácil metabolismo|100% natural	20	true	false	false
ECN-004	Miel de Abeja	miel-de-abeja	superalimentos	28.00		550 g	Green House / HIRI	Miel 100% artesanal, floración de mango, limón y algarrobo.	Miel multifloral cosechada de forma artesanal, edulcorante natural rico en antioxidantes.	Consumir directo, 1-2 cucharadas al día, o como endulzante natural en bebidas.	100% artesanal|Rica en antioxidantes|Fortalece el sistema inmune|Edulcorante natural	20	true	false	false
ECN-005	Kéfir de Leche HIRI	kefir-de-leche-hiri	lacteos-y-kefir	25.50		1 L	Green House / HIRI	Bebida probiótica artesanal, elaborada con gránulos vivos de kéfir.	Con más de 30 cepas probióticas vivas, elaborado de forma tradicional a partir de leche de vaca. Bajo en lactosa.	Conservar refrigerado. Agitar suavemente antes de consumir. Vida útil 26 días refrigerado.	Más de 30 cepas probióticas vivas|Mejora la salud digestiva|Bajo en lactosa|Alto en proteínas y calcio	20	true	true	false
ECN-006	Tinte Natural Negro Seminatural	tinte-negro-seminatural	cosmetica-capilar	43.70		Caja 40 g	Henna Colors	Tinte seminatural para cobertura de canas, libre de amoníaco.	Línea seminatural de Henna Colors, libre de amoníaco, pesticidas y gluten, sin OGM.	Aplicar sobre cabello limpio y seco, dejar actuar según el tiempo indicado en el empaque y enjuagar.	Libre de amoníaco|Cubre canas|Libre de pesticidas y gluten	18	true	false	false
ECN-007	Tinte Natural Castaño Claro Seminatural	tinte-castano-claro-seminatural	cosmetica-capilar	43.70		Caja 40 g	Henna Colors	Tinte seminatural para cobertura de canas, libre de amoníaco.	Línea seminatural de Henna Colors, libre de amoníaco, pesticidas y gluten, sin OGM.	Aplicar sobre cabello limpio y seco, dejar actuar según el tiempo indicado en el empaque y enjuagar.	Libre de amoníaco|Cubre canas|Libre de pesticidas y gluten	18	true	false	false
ECN-008	Aceite de Almendras para Cabello	aceite-almendras-cabello	cosmetica-capilar	32.90		Frasco 100 ml	Henna Colors	Aceite capilar nutritivo a base de almendras.	Aceite ligero que hidrata y da brillo al cabello, ideal para uso diario después del lavado.	Aplicar unas gotas en cabello húmedo o seco, enfocando puntas.	Hidrata|Da brillo|Aporta suavidad	18	true	false	false
ECN-009	Galleta de Chocolate	galleta-de-chocolate	galletas	0.00		22 g	Fit Rex					0	false	false	false
ECN-010	Galleta de Vainilla	galleta-de-vainilla	galletas	0.00		22 g	Fit Rex					0	false	false	false
ECN-011	Galleta Café Latte	galleta-cafe-latte	galletas	0.00		22 g	Fit Rex					0	false	false	false
ECN-012	Galleta Cookie Dough	galleta-cookie-dough	galletas	0.00		22 g	Fit Rex					0	false	false	false
ECN-013	Algarrobina 555 g	algarrobina-555	superalimentos	0.00		555 g	Algarrobos Orgánicos					0	false	false	false
ECN-014	Algarrobina 915 g	algarrobina-915	superalimentos	0.00		915 g	Algarrobos Orgánicos					0	false	false	false
ECN-015	Maca Roja 250 g	maca-roja-250	superalimentos	0.00		250 g	Algarrobos Orgánicos					0	false	false	false
ECN-016	Maca Negra 250 g	maca-negra-250	superalimentos	0.00		250 g	Algarrobos Orgánicos					0	false	false	false
